voted_for,age_group,gender,education,race,religion
Trump,45-65,Female,4-year,White,Other
Biden,30-44,Female,4-year,White,Protestant
Trump,45-65,Female,4-year,White,Other
Biden,30-44,Male,Post-grad,White,Protestant
Biden,65+,Female,Some college,White,Protestant
Trump,45-65,Female,Some college,Hispanic,Protestant
Biden,45-65,Female,4-year,White,None
Trump,30-44,Female,High school graduate,White,Atheist
Biden,65+,Female,High school graduate,White,Agnostic
Biden,65+,Female,Some college,White,Agnostic
Biden,18-29,Female,Post-grad,White,Atheist
Trump,65+,Female,Some college,White,Protestant
Trump,45-65,Female,Post-grad,White,None
Trump,30-44,Female,Some college,White,Protestant
Trump,45-65,Male,2-year,White,Protestant
Trump,45-65,Female,Post-grad,White,None
Trump,30-44,Male,4-year,Middle Eastern,Other
Biden,45-65,Male,High school graduate,White,Other
Trump,45-65,Male,High school graduate,White,Protestant
Biden,30-44,Male,4-year,White,Roman Catholic
Biden,65+,Male,Post-grad,White,Agnostic
Biden,45-65,Male,High school graduate,Black,None
Trump,45-65,Female,Post-grad,White,Protestant
Biden,30-44,Male,Some college,White,Jewish
Biden,45-65,Male,Some college,White,Roman Catholic
Biden,30-44,Male,4-year,White,Atheist
Biden,45-65,Male,2-year,White,Roman Catholic
Biden,65+,Female,2-year,White,Roman Catholic
Trump,65+,Male,High school graduate,White,Roman Catholic
Biden,18-29,Female,4-year,White,Roman Catholic
Biden,45-65,Female,4-year,Native American,Agnostic
Biden,65+,Female,High school graduate,White,Protestant
Trump,18-29,Female,2-year,White,Roman Catholic
Biden,30-44,Male,High school graduate,Middle Eastern,None
Biden,30-44,Female,4-year,White,Protestant
Trump,45-65,Female,High school graduate,White,Protestant
Trump,65+,Female,2-year,White,Roman Catholic
Biden,65+,Male,Post-grad,White,Agnostic
Trump,45-65,Female,High school graduate,White,Protestant
Biden,65+,Female,Post-grad,White,Roman Catholic
Biden,65+,Male,High school graduate,Black,Protestant
Biden,45-65,Female,No HS,Hispanic,None
Biden,65+,Male,Post-grad,White,Protestant
Biden,65+,Male,Post-grad,White,None
Biden,18-29,Male,Some college,Asian,Atheist
Trump,65+,Female,High school graduate,White,Other
Trump,45-65,Male,Post-grad,Middle Eastern,None
Trump,65+,Male,High school graduate,White,Protestant
Trump,65+,Female,2-year,White,None
Biden,45-65,Female,Post-grad,White,Roman Catholic
Biden,65+,Female,Post-grad,White,Protestant
Biden,45-65,Female,Post-grad,White,Protestant
Biden,65+,Female,Some college,White,Protestant
Trump,30-44,Female,Some college,White,Other
Biden,65+,Female,Some college,White,None
Biden,65+,Male,Post-grad,White,Protestant
Biden,65+,Female,Post-grad,White,Roman Catholic
Biden,65+,Female,Post-grad,White,Protestant
Trump,30-44,Female,4-year,White,Jewish
Trump,65+,Female,Some college,White,Protestant
Trump,65+,Female,2-year,White,Protestant
Biden,45-65,Male,Some college,White,Agnostic
Trump,45-65,Male,High school graduate,White,Protestant
Trump,30-44,Male,Some college,White,Other
Trump,65+,Male,Post-grad,White,Jewish
Trump,45-65,Female,Post-grad,White,Protestant
Trump,45-65,Female,Some college,Hispanic,Other
Biden,65+,Male,Post-grad,White,Jewish
Biden,65+,Male,High school graduate,Black,Protestant
Trump,65+,Female,Post-grad,White,Roman Catholic
Biden,65+,Male,Post-grad,White,Atheist
Biden,65+,Male,Post-grad,White,Atheist
Biden,18-29,Male,Some college,White,Atheist
Trump,65+,Female,High school graduate,White,Protestant
Biden,45-65,Male,High school graduate,White,Protestant
Trump,45-65,Male,High school graduate,White,Agnostic
Biden,45-65,Female,4-year,Black,None
Trump,30-44,Male,Some college,White,Atheist
Biden,65+,Male,High school graduate,White,None
Biden,45-65,Male,Some college,White,Atheist
Biden,45-65,Female,Post-grad,White,Protestant
Biden,30-44,Female,Post-grad,Black,Atheist
Biden,45-65,Male,High school graduate,White,Other
Biden,30-44,Female,Some college,White,None
Trump,30-44,Male,4-year,White,Roman Catholic
Biden,45-65,Female,2-year,Hispanic,None
Biden,65+,Female,Post-grad,White,Protestant
Biden,45-65,Female,Post-grad,White,Roman Catholic
Biden,65+,Female,Some college,White,Protestant
Biden,65+,Female,Some college,White,Roman Catholic
Trump,65+,Male,High school graduate,White,Roman Catholic
Trump,65+,Male,High school graduate,White,Other
Biden,65+,Female,Post-grad,Black,Protestant
Trump,65+,Male,Post-grad,White,Roman Catholic
Trump,65+,Female,High school graduate,White,Protestant
Trump,65+,Female,Some college,White,Protestant
Trump,30-44,Female,Some college,White,Protestant
