voted_for,age_group,gender,education,race,religion,household_gun_ownership,student_loan_status
Biden,45-64,Male,4-year,White,Atheist,Yes,No
Biden,45-64,Male,2-year,Black,None,Yes,No
Biden,30-44,Male,High school graduate,White,None,No,No
Biden,45-64,Female,2-year,White,Jewish,No,No
Biden,45-64,Female,High school graduate,White,None,No,No
Biden,45-64,Male,4-year,White,Atheist,No,No
Trump,65+,Male,2-year,White,None,Yes,No
Trump,45-64,Male,4-year,White,Other,No,No
Biden,45-64,Female,2-year,White,Roman Catholic,No,No
Trump,65+,Male,4-year,White,Protestant,Yes,No
Trump,18-29,Male,4-year,White,Agnostic,Yes,No
Biden,30-44,Male,High school graduate,Native American,Other,Yes,Yes
Biden,30-44,Male,Post-grad,White,Other,No,No
Biden,30-44,Female,Post-grad,White,Roman Catholic,No,No
Trump,45-64,Male,Post-grad,Multiracial,Jewish,Yes,No
Trump,18-29,Female,Some college,White,Agnostic,Yes,No
Biden,30-44,Male,4-year,Hispanic,Atheist,No,Yes
Biden,45-64,Male,Some college,Multiracial,None,No,No
Biden,45-64,Female,Some college,White,Roman Catholic,No,No
Trump,65+,Male,4-year,White,Jewish,Yes,No
Trump,30-44,Female,Some college,White,Protestant,Unsure,No
Biden,65+,Female,4-year,White,None,No,No
Biden,18-29,Female,Some college,White,None,No,No
Trump,45-64,Male,High school graduate,White,Roman Catholic,Yes,No
Biden,65+,Female,Post-grad,Multiracial,Agnostic,No,No
Trump,45-64,Male,Some college,White,Protestant,Yes,No
Trump,45-64,Female,High school graduate,White,Protestant,Yes,No
Biden,45-64,Male,Post-grad,White,Agnostic,Yes,Yes
Trump,45-64,Female,2-year,White,Protestant,Yes,Yes
Trump,65+,Male,4-year,White,Protestant,Unsure,No
Trump,65+,Female,4-year,White,Protestant,Unsure,No
Trump,65+,Female,High school graduate,White,Protestant,No,No
Biden,18-29,Female,High school graduate,White,None,No,Yes
Biden,30-44,Female,Post-grad,Native American,Roman Catholic,No,No
Biden,45-64,Male,High school graduate,White,None,Yes,No
Biden,30-44,Male,Post-grad,Black,None,Yes,No
Biden,65+,Male,4-year,White,Other,No,No
Biden,65+,Male,4-year,White,Roman Catholic,No,No
Biden,45-64,Female,Some college,White,Other,No,No
Trump,45-64,Female,Some college,White,None,Yes,No
Biden,45-64,Male,Post-grad,White,Protestant,No,No
Biden,45-64,Female,4-year,White,Atheist,No,Yes
Biden,18-29,Female,Post-grad,White,Protestant,Yes,No
Biden,65+,Male,Post-grad,White,Protestant,Yes,No
Biden,30-44,Female,High school graduate,White,None,No,No
Biden,45-64,Male,No HS,White,None,Yes,No
Trump,65+,Female,High school graduate,White,Protestant,Yes,No
Trump,65+,Female,High school graduate,Hispanic,Roman Catholic,Yes,No
Trump,45-64,Male,Some college,White,Other,No,No
Trump,45-64,Female,4-year,White,Other,Yes,No
Biden,30-44,Female,4-year,White,Protestant,Yes,No
Trump,45-64,Female,4-year,White,Other,Unsure,No
Biden,30-44,Male,Post-grad,White,Protestant,No,No
Biden,65+,Female,Some college,White,Protestant,No,No
Trump,45-64,Female,Some college,Hispanic,Protestant,Yes,No
Biden,45-64,Female,4-year,White,None,Yes,No
Trump,30-44,Female,High school graduate,White,Atheist,Yes,No
Biden,65+,Female,High school graduate,White,Agnostic,No,No
Biden,65+,Female,Some college,White,Agnostic,Yes,No
Biden,18-29,Female,Post-grad,White,Atheist,No,No
Trump,65+,Female,Some college,White,Protestant,Yes,No
Trump,45-64,Female,Post-grad,White,None,Yes,No
Trump,30-44,Female,Some college,White,Protestant,Yes,No
Trump,45-64,Male,2-year,White,Protestant,No,No
Trump,45-64,Female,Post-grad,White,None,Yes,No
Trump,30-44,Male,4-year,Middle Eastern,Other,Yes,Yes
Biden,45-64,Male,High school graduate,White,Other,No,No
Trump,45-64,Male,High school graduate,White,Protestant,Yes,No
Biden,30-44,Male,4-year,White,Roman Catholic,No,No
Biden,65+,Male,Post-grad,White,Agnostic,Yes,No
Biden,45-64,Male,High school graduate,Black,None,Yes,No
Trump,45-64,Female,Post-grad,White,Protestant,Yes,No
Biden,30-44,Male,Some college,White,Jewish,Yes,No
Biden,45-64,Male,Some college,White,Roman Catholic,Yes,No
Biden,30-44,Male,4-year,White,Atheist,No,Yes
Biden,45-64,Male,2-year,White,Roman Catholic,No,No
Biden,65+,Female,2-year,White,Roman Catholic,No,No
Trump,65+,Male,High school graduate,White,Roman Catholic,No,No
